Train,Test,Method,F1,Precision,Recall
csc,csc,Zero-shot,0.21,0.14,0.4
csc,csc,Few-shot,0.08,0.05,0.2
csc,isarcasmeval,Zero-shot,0.55,0.43,0.75
csc,isarcasmeval,Few-shot,0.45,0.36,0.62
csc,mustard,Zero-shot,0.82,0.74,0.92
csc,mustard,Few-shot,0.81,0.72,0.92
csc,news_headlines,Zero-shot,0.89,0.88,0.91
csc,news_headlines,Few-shot,0.86,0.81,0.91
csc,sarc,Zero-shot,0.72,0.61,0.88
csc,sarc,Few-shot,0.7,0.6,0.84
csc,sarcasm_v2,Zero-shot,0.81,0.85,0.79
csc,sarcasm_v2,Few-shot,0.87,0.92,0.82
isarcasmeval,csc,Zero-shot,0.11,0.07,0.2
isarcasmeval,csc,Few-shot,0.25,0.16,0.6
isarcasmeval,isarcasmeval,Zero-shot,0.4,0.33,0.5
isarcasmeval,isarcasmeval,Few-shot,0.45,0.36,0.62
isarcasmeval,mustard,Zero-shot,0.76,0.67,0.88
isarcasmeval,mustard,Few-shot,0.79,0.71,0.88
isarcasmeval,news_headlines,Zero-shot,0.88,0.84,0.91
isarcasmeval,news_headlines,Few-shot,0.85,0.76,0.96
isarcasmeval,sarc,Zero-shot,0.74,0.62,0.92
isarcasmeval,sarc,Few-shot,0.74,0.6,0.96
isarcasmeval,sarcasm_v2,Zero-shot,0.85,0.92,0.79
isarcasmeval,sarcasm_v2,Few-shot,0.81,0.85,0.79
mustard,csc,Zero-shot,0.1,0.07,0.2
mustard,csc,Few-shot,0.21,0.14,0.4
mustard,isarcasmeval,Zero-shot,0.5,0.38,0.75
mustard,isarcasmeval,Few-shot,0.58,0.44,0.88
mustard,mustard,Zero-shot,0.79,0.71,0.88
mustard,mustard,Few-shot,0.74,0.66,0.84
mustard,news_headlines,Zero-shot,0.89,0.88,0.91
mustard,news_headlines,Few-shot,0.86,0.81,0.91
mustard,sarc,Zero-shot,0.72,0.61,0.88
mustard,sarc,Few-shot,0.69,0.61,0.8
mustard,sarcasm_v2,Zero-shot,0.8,0.81,0.79
mustard,sarcasm_v2,Few-shot,0.87,0.92,0.82
news_headlines,csc,Zero-shot,0.18,0.12,0.4
news_headlines,csc,Few-shot,0.11,0.07,0.2
news_headlines,isarcasmeval,Zero-shot,0.45,0.36,0.62
news_headlines,isarcasmeval,Few-shot,0.48,0.35,0.75
news_headlines,mustard,Zero-shot,0.74,0.69,0.8
news_headlines,mustard,Few-shot,0.72,0.61,0.88
news_headlines,news_headlines,Zero-shot,0.88,0.81,0.96
news_headlines,news_headlines,Few-shot,0.88,0.79,1.0
news_headlines,sarc,Zero-shot,0.71,0.59,0.88
news_headlines,sarc,Few-shot,0.7,0.58,0.88
news_headlines,sarcasm_v2,Zero-shot,0.8,0.81,0.79
news_headlines,sarcasm_v2,Few-shot,0.84,0.85,0.82
sarc,csc,Zero-shot,0.22,0.15,0.4
sarc,csc,Few-shot,0.09,0.06,0.2
sarc,isarcasmeval,Zero-shot,0.52,0.4,0.75
sarc,isarcasmeval,Few-shot,0.48,0.35,0.75
sarc,mustard,Zero-shot,0.84,0.77,0.92
sarc,mustard,Few-shot,0.81,0.72,0.92
sarc,news_headlines,Zero-shot,0.92,0.85,1.0
sarc,news_headlines,Few-shot,0.77,0.75,0.78
sarc,sarc,Zero-shot,0.74,0.62,0.92
sarc,sarc,Few-shot,0.74,0.62,0.92
sarc,sarcasm_v2,Zero-shot,0.77,0.83,0.71
sarc,sarcasm_v2,Few-shot,0.78,0.81,0.75
sarcasm_v2,csc,Zero-shot,0.22,0.15,0.4
sarcasm_v2,csc,Few-shot,0.11,0.08,0.2
sarcasm_v2,isarcasmeval,Zero-shot,0.5,0.38,0.75
sarcasm_v2,isarcasmeval,Few-shot,0.59,0.56,0.62
sarcasm_v2,mustard,Zero-shot,0.79,0.71,0.88
sarcasm_v2,mustard,Few-shot,0.75,0.71,0.8
sarcasm_v2,news_headlines,Zero-shot,0.85,0.83,0.87
sarcasm_v2,news_headlines,Few-shot,0.85,0.83,0.87
sarcasm_v2,sarc,Zero-shot,0.7,0.6,0.84
sarcasm_v2,sarc,Few-shot,0.69,0.58,0.84
sarcasm_v2,sarcasm_v2,Zero-shot,0.79,0.84,0.75
sarcasm_v2,sarcasm_v2,Few-shot,0.84,0.85,0.82
