Train,Test,Method,F1,Precision,Recall
csc,csc,Zero-shot,0.2,0.13,0.4
csc,csc,Few-shot,0.25,0.16,0.6
csc,isarcasmeval,Zero-shot,0.45,0.3,0.88
csc,isarcasmeval,Few-shot,0.5,0.33,1.0
csc,mustard,Zero-shot,0.73,0.67,0.8
csc,mustard,Few-shot,0.75,0.65,0.88
csc,news_headlines,Zero-shot,0.74,0.8,0.7
csc,news_headlines,Few-shot,0.68,0.71,0.65
csc,sarc,Zero-shot,0.66,0.58,0.76
csc,sarc,Few-shot,0.66,0.56,0.8
csc,sarcasm_v2,Zero-shot,0.78,0.81,0.75
csc,sarcasm_v2,Few-shot,0.81,0.85,0.79
isarcasmeval,csc,Zero-shot,0.1,0.07,0.2
isarcasmeval,csc,Few-shot,0.22,0.15,0.4
isarcasmeval,isarcasmeval,Zero-shot,0.48,0.33,0.88
isarcasmeval,isarcasmeval,Few-shot,0.43,0.3,0.75
isarcasmeval,mustard,Zero-shot,0.75,0.71,0.8
isarcasmeval,mustard,Few-shot,0.6,0.64,0.56
isarcasmeval,news_headlines,Zero-shot,0.71,0.79,0.65
isarcasmeval,news_headlines,Few-shot,0.74,0.8,0.7
isarcasmeval,sarc,Zero-shot,0.0,0.0,0.0
isarcasmeval,sarc,Few-shot,0.0,0.0,0.0
isarcasmeval,sarcasm_v2,Zero-shot,0.0,0.0,0.0
isarcasmeval,sarcasm_v2,Few-shot,0.0,0.0,0.0
mustard,csc,Zero-shot,0.0,0.0,0.0
mustard,csc,Few-shot,0.18,0.17,0.2
mustard,isarcasmeval,Zero-shot,0.48,0.33,0.88
mustard,isarcasmeval,Few-shot,0.5,0.35,0.88
mustard,mustard,Zero-shot,0.73,0.67,0.8
mustard,mustard,Few-shot,0.68,0.64,0.72
mustard,news_headlines,Zero-shot,0.73,0.83,0.65
mustard,news_headlines,Few-shot,0.62,0.75,0.52
mustard,sarc,Zero-shot,0.62,0.57,0.68
mustard,sarc,Few-shot,0.55,0.5,0.6
mustard,sarcasm_v2,Zero-shot,0.77,0.83,0.71
mustard,sarcasm_v2,Few-shot,0.8,0.91,0.71
news_headlines,csc,Zero-shot,0.11,0.08,0.2
news_headlines,csc,Few-shot,0.11,0.08,0.2
news_headlines,isarcasmeval,Zero-shot,0.48,0.33,0.88
news_headlines,isarcasmeval,Few-shot,0.48,0.32,1.0
news_headlines,mustard,Zero-shot,0.75,0.73,0.76
news_headlines,mustard,Few-shot,0.67,0.62,0.72
news_headlines,news_headlines,Zero-shot,0.76,0.84,0.7
news_headlines,news_headlines,Few-shot,0.81,0.79,0.83
news_headlines,sarc,Zero-shot,0.61,0.55,0.68
news_headlines,sarc,Few-shot,0.58,0.5,0.68
news_headlines,sarcasm_v2,Zero-shot,0.0,0.0,0.0
news_headlines,sarcasm_v2,Few-shot,0.0,0.0,0.0
sarc,csc,Zero-shot,0.0,0.0,0.0
sarc,csc,Few-shot,0.0,0.0,0.0
sarc,isarcasmeval,Zero-shot,0.38,0.38,0.38
sarc,isarcasmeval,Few-shot,0.35,0.27,0.5
sarc,mustard,Zero-shot,0.75,0.71,0.8
sarc,mustard,Few-shot,0.72,0.72,0.72
sarc,news_headlines,Zero-shot,0.65,0.76,0.57
sarc,news_headlines,Few-shot,0.56,0.69,0.48
sarc,sarc,Zero-shot,0.64,0.58,0.72
sarc,sarc,Few-shot,0.62,0.59,0.64
sarc,sarcasm_v2,Zero-shot,0.77,0.83,0.71
sarc,sarcasm_v2,Few-shot,0.76,0.86,0.68
sarcasm_v2,csc,Zero-shot,0.12,0.09,0.2
sarcasm_v2,csc,Few-shot,0.14,0.11,0.2
sarcasm_v2,isarcasmeval,Zero-shot,0.53,0.36,1.0
sarcasm_v2,isarcasmeval,Few-shot,0.43,0.33,0.62
sarcasm_v2,mustard,Zero-shot,0.68,0.68,0.68
sarcasm_v2,mustard,Few-shot,0.58,0.65,0.52
sarcasm_v2,news_headlines,Zero-shot,0.68,0.78,0.61
sarcasm_v2,news_headlines,Few-shot,0.51,0.75,0.39
sarcasm_v2,sarc,Zero-shot,0.62,0.55,0.72
sarcasm_v2,sarc,Few-shot,0.6,0.64,0.56
sarcasm_v2,sarcasm_v2,Zero-shot,0.73,0.86,0.64
sarcasm_v2,sarcasm_v2,Few-shot,0.78,0.87,0.71
